,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
0,1,1,2,ヒルノダムール,牡4,58,藤田伸二,3:20.6,,**,9-8-7-6,35.3,16.9,7,474(0),,,,[西] 昆貢,蛭川正文,13586.4
1,2,7,15,エイシンフラッシュ,牡4,58,内田博幸,3:20.7,1/2,**,9-10-10-8,35.2,7.1,3,490(-2),,,,[西] 藤原英昭,平井豊光,5410.4
2,3,2,3,ナムラクレセント,牡6,58,和田竜二,3:20.9,1.1/2,**,11-10-1-1,36.3,11.3,5,502(+2),,,,[西] 福島信晴,奈村信重,3355.2
3,4,4,7,マカニビスティー,牡4,58,小牧太,3:21.1,1.1/4,**,12-12-13-12,35.4,234.3,17,476(-2),,,,[西] 矢作芳人,備前島敏子,2000.0
4,5,7,14,トウカイトリック,牡9,58,川田将雅,3:21.1,クビ,**,17-17-18-16,35.1,253.3,18,454(+2),,,,[西] 野中賢二,内村正則,1320.0
5,6,4,8,マイネルキッツ,牡8,58,松岡正海,3:21.2,クビ,**,3-3-2-2,36.4,13.8,6,498(-8),,,,[東] 国枝栄,サラブレッドクラブ・ラフィアン,
6,7,1,1,ビートブラック,牡4,58,岩田康誠,3:21.3,3/4,**,6-5-10-8,35.8,20.8,9,508(-2),,,,[西] 中村均,前田幸治,
7,8,3,6,ペルーサ,牡4,58,横山典弘,3:21.5,1,**,6-7-7-6,36.1,8.0,4,506(+4),,,,[東] 藤沢和雄,山本英俊,
8,9,3,5,ジェントゥー,セ7,58,ブフ,3:21.8,1.3/4,**,12-13-13-12,36.0,18.8,8,464(0),,,,[外] リヨン,Ｓ．トリピエール・モンダンサン,
9,10,8,16,オウケンブルースリ,牡6,58,浜中俊,3:21.9,1/2,**,14-14-15-17,35.8,77.2,12,486(-2),,,,[西] 音無秀孝,福井明,
10,11,2,4,ローズキングダム,牡4,58,武豊,3:22.0,3/4,**,8-8-3-3,37.1,4.2,2,464(-6),,,,[西] 橋口弘次,サンデーレーシング,
11,12,5,10,トーセンクラウン,牡7,58,江田照男,3:22.2,1.1/2,**,16-16-15-12,36.4,145.1,16,468(-4),,,,[東] 菅原泰夫,島川隆哉,
12,13,5,9,トゥザグローリー,牡4,58,四位洋文,3:22.3,3/4,**,1-1-3-3,37.3,3.1,1,524(-4),,,,[西] 池江泰寿,キャロットファーム,
13,14,6,12,コスモヘレノス,牡4,58,中谷雄太,3:22.3,アタマ,**,2-2-3-3,37.4,88.4,13,512(-4),,,,[東] 菊川正達,ビッグレッドファーム,
14,15,7,13,ジャミール,牡5,58,ウィリア,3:22.6,1.3/4,**,14-15-10-8,37.2,44.4,11,458(-2),,,,[西] 松元茂樹,吉田照哉,
15,16,8,17,フォゲッタブル,牡5,58,丸山元気,3:23.2,3.1/2,**,18-17-6-8,38.0,100.8,14,482(0),,,,[西] 池江泰寿,金子真人ホールディングス,
16,17,6,11,ゲシュタルト,牡4,58,藤岡佑介,3:23.4,1.1/4,**,3-4-7-12,37.8,138.0,15,506(+2),,,,[西] 長浜博之,畑佐博,
17,中,8,18,コスモメドウ,牡4,58,丹内祐次,,,**,5-5-15-18,,32.6,10,470(+6),,,,[東] 畠山重則,ビッグレッドファーム,
0,1,1,1,ビートブラック,牡5,58,石橋脩,3:13.8,,**,2-2-1-1,36.5,159.6,14,512(-2),,,,[西] 中村均,前田幸治,13590.6
1,2,8,16,トーセンジョーダン,牡6,58,岩田康誠,3:14.5,4,**,7-7-7-5,34.0,10.2,3,478(-4),,,,[西] 池江泰寿,島川隆哉,5411.6
2,3,6,11,ウインバリアシオン,牡4,58,武豊,3:14.8,2,**,12-12-12-12,33.5,9.8,2,512(-2),,,,[西] 松永昌博,ウイン,3355.8
3,4,3,5,ジャガーメイル,牡8,58,四位洋文,3:14.9,クビ,**,13-12-13-12,33.6,62.7,9,476(-4),,,,[東] 堀宣行,吉田和美,2000.0
4,5,4,8,ギュスターヴクライ,牡4,58,蛯名正義,3:15.1,1.1/2,**,8-8-7-7,34.4,15.5,4,494(-4),,,,[西] 荒川義之,社台レースホース,1320.0
5,6,4,7,ユニバーサルバンク,牡4,58,田辺裕信,3:15.3,1.1/4,**,4-4-4-3,35.2,134.1,13,468(-4),,,,[西] 松田博資,サンデーレーシング,
6,7,3,6,ゴールデンハインド,牡6,58,荻野琢真,3:15.3,ハナ,**,1-1-2-2,37.8,85.1,10,548(+6),,,,[東] 大竹正博,吉田和子,
7,8,1,2,トウカイトリック,牡10,58,幸英明,3:15.4,1/2,**,6-6-4-5,35.0,311.1,17,450(-6),,,,[西] 野中賢二,内村正則,
8,9,2,3,ナムラクレセント,牡7,58,和田竜二,3:15.6,1.1/2,**,3-3-3-4,35.6,59.6,8,508(+6),,,,[西] 福島信晴,奈村信重,
9,10,8,17,トウカイパラダイス,牡5,58,柴山雄一,3:15.6,クビ,**,10-10-10-10,34.5,263.6,16,508(+6),,,,[西] 田所秀孝,内村正則,
10,11,7,15,ヒルノダムール,牡5,58,藤田伸二,3:15.6,ハナ,**,15-14-14-14,34.0,23.3,5,476(-2),,,,[西] 昆貢,蛭川正文,
11,11,8,18,オルフェーヴル,牡4,58,池添謙一,3:15.6,同着,**,16-16-17-14,34.0,1.3,1,460(-2),,,,[西] 池江泰寿,サンデーレーシング,
12,13,7,13,フェイトフルウォー,牡4,58,柴田善臣,3:15.7,クビ,**,9-9-9-9,34.8,112.2,11,512(+2),,,,[東] 伊藤伸一,社台レースホース,
13,14,5,9,コスモロビン,牡4,58,柴田大知,3:15.7,クビ,**,17-17-15-14,34.2,162.6,15,526(0),,,,[東] 清水英克,ビッグレッドファーム,
14,15,7,14,ローズキングダム,牡5,58,後藤浩輝,3:15.9,1,**,18-18-18-17,34.0,44.6,6,466(-2),,,,[西] 橋口弘次,サンデーレーシング,
15,16,5,10,ケイアイドウソジン,牡6,58,川田将雅,3:16.4,3,**,5-5-6-8,35.8,123.7,12,502(-4),,,,[東] 田村康仁,啓愛義肢材料販売所,
16,17,2,4,モンテクリスエス,牡7,58,松岡正海,3:16.5,1/2,**,10-10-10-11,35.4,345.5,18,548(0),,,,[西] 松田国英,毛利喜昭,
17,18,6,12,クレスコグランド,牡4,58,浜中俊,3:18.6,大,**,13-14-15-18,36.6,54.3,7,502(0),,,,[西] 石坂正,堀川三郎,
0,1,3,6,フェノーメノ,牡4,58,蛯名正義,3:14.2,,**,7-7-3-2,36.2,6.2,2,496(+2),,,,[東] 戸田博文,サンデーレーシング,13582.2
1,2,1,1,トーセンラー,牡5,58,武豊,3:14.4,1.1/4,**,9-9-6-2,36.4,13.6,3,460(0),,,,[西] 藤原英昭,島川隆哉,5409.2
2,3,7,13,レッドカドー,セ7,58,モッセ,3:14.7,2,**,11-11-10-4,36.5,29.4,6,482(0),,,,[外] ダンロッ,Ｒ．Ｊ．アカーリ,3354.6
3,4,4,7,アドマイヤラクティ,牡5,58,岩田康誠,3:15.0,1.3/4,**,11-11-14-10,36.4,21.7,4,486(+6),,,,[西] 梅田智之,近藤利一,2000.0
4,5,4,8,ゴールドシップ,牡4,58,内田博幸,3:15.1,クビ,**,14-13-6-4,37.0,1.3,1,502(0),,,,[西] 須貝尚介,小林英一,1320.0
5,6,2,4,ジャガーメイル,牡9,58,戸崎圭太,3:15.2,3/4,**,16-16-12-4,37.0,48.2,8,474(-10),,,,[東] 堀宣行,吉田和美,
6,7,3,5,マイネルキッツ,牡10,58,Ｃ．デム,3:15.6,2.1/2,**,8-8-6-7,37.4,118.3,11,506(0),,,,[東] 国枝栄,サラブレッドクラブ・ラフィアン,
7,8,8,16,トウカイパラダイス,牡6,58,柴山雄一,3:15.6,ハナ,**,2-2-2-1,37.7,137.2,14,516(0),,,,[西] 田所秀孝,内村正則,
8,9,2,3,デスペラード,牡5,58,浜中俊,3:15.9,2,**,18-18-16-14,37.0,25.3,5,488(-2),,,,[西] 安達昭夫,市川義美,
9,10,6,12,フォゲッタブル,牡7,58,和田竜二,3:15.9,ハナ,**,13-13-14-12,37.1,71.8,10,490(-2),,,,[西] 池江泰寿,金子真人ホールディングス,
10,11,6,11,トウカイトリック,牡11,58,北村宏司,3:16.2,1.3/4,**,14-13-16-16,37.2,198.2,16,454(0),,,,[西] 野中賢二,内村正則,
11,12,8,17,レッドデイヴィス,セ5,58,北村友一,3:16.5,2,**,9-9-12-11,37.9,128.6,13,476(0),,,,[西] 音無秀孝,東京ホースレーシング,
12,13,5,9,ユニバーサルバンク,牡5,58,川田将雅,3:16.6,3/4,**,4-4-3-7,38.5,188.1,15,476(-6),,,,[西] 松田博資,サンデーレーシング,
13,14,5,10,メイショウカンパク,牡6,58,藤田伸二,3:16.7,クビ,**,16-16-16-9,38.2,229.7,17,486(+2),,,,[西] 荒川義之,松本好雄,
