,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
0,1,8,13,ダイワスカーレット,牝4,55,安藤勝己,2:31.5,,**,1-1-1-1,36.4,2.6,1.0,494(-4),,,,[西] 松田国英,大城敬三,18319.2
1,2,8,14,アドマイヤモナーク,牡7,57,川田将雅,2:31.8,1.3/4,**,14-14-13-11,35.8,90.2,14.0,468(+6),,,,[西] 松田博資,近藤利一,7291.2
2,3,4,6,エアシェイディ,牡7,57,後藤浩輝,2:31.9,3/4,**,8-8-5-7,36.4,36.1,10.0,496(+6),,,,[東] 伊藤正徳,ラッキーフィールド,4545.6
3,4,7,11,ドリームジャーニー,牡4,57,池添謙一,2:31.9,ハナ,**,11-13-13-9,35.9,24.1,7.0,430(+10),,,,[西] 池江泰寿,サンデーレーシング,2700.0
4,5,5,8,スクリーンヒーロー,牡4,57,Ｍデムー,2:32.0,クビ,**,10-8-5-2,36.5,6.4,3.0,488(+2),,,,[東] 鹿戸雄一,吉田照哉,1800.0
5,6,5,7,アルナスライン,牡4,57,ペリエ,2:32.2,1,**,11-11-10-9,36.4,18.3,5.0,554(+14),,,,[西] 松元茂樹,サンデーレーシング,
6,7,1,1,カワカミプリンセス,牝5,55,横山典弘,2:32.5,2,**,2-2-5-7,37.0,19.0,6.0,488(-10),,,,[西] 西浦勝一,三石川上牧場,
7,8,6,9,メイショウサムソン,牡5,57,武豊,2:32.5,ハナ,**,2-2-2-2,37.3,8.4,4.0,520(+4),,,,[西] 高橋成忠,松本好雄,
8,9,4,5,フローテーション,牡3,55,ルメール,2:32.7,1.1/4,**,6-5-2-4,37.5,27.3,8.0,486(+2),,,,[西] 橋口弘次,臼田浩義,
9,10,2,2,ベンチャーナイン,牡3,55,柴田善臣,2:32.7,クビ,**,8-8-12-11,36.8,80.0,13.0,500(0),,,,[東] 小桧山悟,本杉芳郎,
10,11,3,3,コスモバルク,牡7,57,松岡正海,2:32.8,1/2,**,6-5-10-11,37.0,75.7,12.0,516(+2),,,,[地] 田部和則,ビッグレッドファーム,
11,12,6,10,マツリダゴッホ,牡5,57,蛯名正義,2:33.1,1.3/4,**,11-11-5-4,37.5,4.4,2.0,498(+6),,,,[東] 国枝栄,高橋文枝,
12,13,3,4,エアジパング,セ5,57,藤田伸二,2:33.9,5,**,5-5-5-11,38.3,54.4,11.0,452(+8),,,,[西] 藤原英昭,ラッキーフィールド,
13,14,7,12,アサクサキングス,牡4,57,四位洋文,2:34.3,2.1/2,**,4-4-2-4,39.1,29.5,9.0,498(0),,,,[西] 大久保龍,田原慶子,
0,1,5,9,ドリームジャーニー,牡5,57,池添謙一,2:30.0,,**,15-15-14-8,35.2,4.0,2.0,426(+4),,,,[西] 池江泰寿,サンデーレーシング,18344.4
1,2,1,2,ブエナビスタ,牝3,53,横山典弘,2:30.1,1/2,**,6-6-4-3,35.8,3.4,1.0,446(-8),,,,[西] 松田博資,サンデーレーシング,7298.4
2,3,3,6,エアシェイディ,牡8,57,後藤浩輝,2:30.8,4,**,16-16-15-12,35.7,32.0,11.0,494(0),,,,[東] 伊藤正徳,ラッキーフィールド,4549.2
3,4,8,16,フォゲッタブル,牡3,55,ルメール,2:30.8,アタマ,**,13-13-10-5,36.1,9.6,4.0,484(-2),,,,[西] 池江泰郎,金子真人ホールディングス,2700.0
4,5,2,4,マイネルキッツ,牡6,57,三浦皇成,2:31.2,2.1/2,**,10-10-6-5,36.7,33.2,12.0,504(+6),,,,[東] 国枝栄,サラブレッドクラブ・ラフィアン,1800.0
5,6,7,14,セイウンワンダー,牡3,55,藤田伸二,2:31.6,2.1/2,**,13-13-10-5,36.9,21.0,10.0,518(+4),,,,[西] 領家政蔵,大谷高雄,
6,7,4,7,マツリダゴッホ,牡6,57,蛯名正義,2:31.9,1.3/4,**,10-10-4-1,37.6,9.4,3.0,502(+12),,,,[東] 国枝栄,高橋文枝,
7,8,6,11,イコピコ,牡3,55,内田博幸,2:32.6,4,**,6-8-6-8,38.2,17.2,9.0,456(-10),,,,[西] 西園正都,錦岡牧場,
8,9,7,13,シャドウゲイト,牡7,57,田中勝春,2:32.7,3/4,**,4-4-2-2,38.6,123.4,16.0,504(+4),,,,[東] 加藤征弘,飯塚知一,
9,10,3,5,コスモバルク,牡8,57,五十嵐冬,2:32.8,クビ,**,10-10-10-12,38.1,89.9,15.0,512(+2),,,,[地] 田部和則,ビッグレッドファーム,
10,11,2,3,ミヤビランベリ,牡6,57,吉田隼人,2:32.8,アタマ,**,2-2-2-3,38.7,14.7,7.0,492(-4),,,,[西] 加藤敬二,村上義勝,
11,12,8,15,ネヴァブション,牡6,57,北村宏司,2:33.9,7,**,6-8-9-14,39.3,60.0,13.0,488(-2),,,,[東] 伊藤正徳,ティーエイチ,
