,着順,枠番,馬番,馬名,性齢,斤量,騎手,上り,単勝,人気,馬体重,調教師,馬主,rank_0,rank_1,rank_2,rank_3,second,first_half,weight,diff
233,11,2,4,アーネストリー,牡7,57,福永祐一,37.6,70.1,14.0,530(-4),[西] 佐々木晶,前田幸治,1,1,1,2,153.5,115.9,530,-4
234,12,1,1,ローズキングダム,牡5,57,岩田康誠,37.2,51.6,13.0,460(+6),[西] 橋口弘次,サンデーレーシング,4,3,3,5,153.6,116.39999999999999,460,6
235,13,4,8,トレイルブレイザー,牡5,57,武豊,37.3,27.4,9.0,498(0),[西] 池江泰寿,前田幸治,11,11,12,12,154.2,116.89999999999999,498,0
236,14,6,12,オウケンブルースリ,牡7,57,田辺裕信,37.5,116.6,15.0,486(+2),[西] 音無秀孝,福井明,14,14,12,16,154.4,116.9,486,2
237,15,3,5,ネヴァブション,牡9,57,田中勝春,37.4,144.1,16.0,488(+8),[東] 伊藤正徳,廣崎利洋,14,15,16,15,154.5,117.1,488,8
238,16,6,11,トゥザグローリー,牡5,57,蛯名正義,39.5,29.6,11.0,534(-4),[西] 池江泰寿,キャロットファーム,7,7,7,12,156.1,116.6,534,-4
239,1,3,6,オルフェーヴル,牡5,57,池添謙一,36.0,1.6,1.0,466(0),[西] 池江泰寿,サンデーレーシング,13,13,12,2,152.3,116.30000000000001,466,0
240,2,2,4,ウインバリアシオン,牡5,57,岩田康誠,37.3,16.1,4.0,534(-4),[西] 松永昌博,ウイン,9,11,12,4,153.6,116.3,534,-4
241,3,7,14,ゴールドシップ,牡4,57,ムーア,37.8,4.4,2.0,498(-2),[西] 須貝尚介,小林英一,12,11,8,4,153.8,116.00000000000001,498,-2
242,4,6,11,ラブイズブーシェ,牡4,57,武豊,37.6,63.7,12.0,456(+6),[西] 村山明,小林祥晃,14,15,14,14,154.2,116.6,456,6
243,5,4,7,タマモベストプレイ,牡3,55,和田竜二,38.3,113.7,16.0,496(-6),[西] 南井克巳,タマモ,9,8,8,4,154.3,116.00000000000001,496,-6
244,6,2,3,カレンミロティック,セ5,57,戸崎圭太,38.7,28.1,6.0,450(-10),[西] 平田修,鈴木隆司,2,2,1,1,154.3,115.60000000000001,450,-10
245,7,3,5,デスペラード,牡5,57,横山典弘,38.1,33.8,7.0,478(+4),[西] 安達昭夫,市川義美,6,8,11,10,154.3,116.20000000000002,478,4
246,8,7,13,トゥザグローリー,牡6,57,ルメール,38.6,63.8,13.0,530(-4),[西] 池江泰寿,キャロットファーム,9,8,8,10,154.7,116.1,530,-4
247,9,6,12,テイエムイナズマ,牡3,55,Ｍ．デム,37.7,110.2,15.0,508(+6),[西] 福島信晴,竹園正繼,16,16,16,14,154.9,117.2,508,6
248,10,1,2,ヴェルデグリーン,牡5,57,田辺裕信,38.4,37.4,8.0,480(+4),[東] 相沢郁,斎藤光政,14,14,14,10,154.9,116.5,480,4
249,11,5,10,アドマイヤラクティ,牡5,57,ウィリア,39.4,14.4,3.0,490(+6),[西] 梅田智之,近藤利一,6,6,3,10,155.3,115.9,490,6
250,12,4,8,ラブリーデイ,牡3,55,蛯名正義,39.7,81.1,14.0,476(-4),[西] 池江泰寿,金子真人ホールディングス,3,3,3,4,155.5,115.8,476,-4
251,13,8,15,ナカヤマナイト,牡5,57,柴田善臣,40.0,47.5,10.0,498(+4),[東] 二ノ宮敬,和泉信一,3,3,2,4,155.7,115.69999999999999,498,4
252,14,8,16,トーセンジョーダン,牡7,57,内田博幸,39.9,24.8,5.0,482(+2),[西] 池江泰寿,島川隆哉,6,6,3,4,155.8,115.9,482,2
253,15,1,1,ダノンバラード,牡5,57,川田将雅,41.2,40.9,9.0,480(-4),[西] 池江泰寿,ダノックス,3,3,3,2,157.0,115.8,480,-4
254,16,5,9,ルルーシュ,牡5,57,福永祐一,47.0,51.2,11.0,512(+8),[東] 藤沢和雄,山本英俊,1,1,3,16,162.8,115.80000000000001,512,8
255,1,2,4,ジェンティルドンナ,牝5,55,戸崎圭太,34.1,8.7,4.0,470(-2),[西] 石坂正,サンデーレーシング,3,3,3,2,155.3,121.20000000000002,470,-2
256,2,3,6,トゥザワールド,牡3,55,ビュイッ,33.8,31.2,9.0,524(+4),[西] 池江泰寿,キャロットファーム,7,7,6,7,155.4,121.60000000000001,524,4
