,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
16,17,6,11,ダイワプリベール,牡3,57,後藤浩輝,1:34.6,2.1/2,**,13-11,35.0,89.7,16,458(+2),,,,[東] 池上昌弘,大城敬三,
17,18(降),2,4,サンカルロ,牡3,57,吉田豊,1:33.4,,**,11-11,33.9,6.9,3,490(+2),,,,[東] 大久保洋,社台レースホース,
0,1,7,13,ダノンシャンティ,牡3,57,安藤勝己,1:31.4,,**,16-16,33.5,2.6,1,468(+2),,,,[西] 松田国英,ダノックス,9590.6
1,2,1,1,ダイワバーバリアン,牡3,57,蛯名正義,1:31.6,1.1/2,**,7-5,34.5,20.1,5,510(+4),,,,[西] 矢作芳人,大城敬三,3811.6
2,3,2,3,リルダヴァル,牡3,57,福永祐一,1:31.8,1,**,7-8,34.4,6.0,3,488(0),,,,[西] 池江泰郎,サンデーレーシング,2355.8
3,4,2,4,サンライズプリンス,牡3,57,横山典弘,1:31.9,1/2,**,2-2,35.2,2.7,2,502(+2),,,,[西] 音無秀孝,松岡隆雄,1400.0
4,5,5,10,キョウエイアシュラ,牡3,57,吉田豊,1:32.2,2,**,13-15,34.5,86.9,13,454(0),,,,[西] 矢作芳人,田中晴夫,920.0
5,6,8,18,エーシンホワイティ,牡3,57,北村友一,1:32.4,1,**,17-17,34.2,137.4,16,468(-2),,,,[西] 松元茂樹,栄進堂,
6,7,8,16,レト,牡3,57,幸英明,1:32.7,2,**,12-8,35.3,52.2,9,442(-2),,,,[東] 本間忍,伊達敏明,
7,8,5,9,モンテフジサン,牡3,57,武士沢友,1:32.8,1/2,**,13-12,35.2,151.9,18,466(+4),,,,[東] 松山康久,毛利喜昭,
8,9,6,11,エイシンアポロン,牡3,57,岩田康誠,1:33.0,1.1/2,**,7-8,35.6,11.5,4,494(0),,,,[西] 岡田稲男,平井豊光,
9,10,7,14,シゲルモトナリ,牡3,57,松岡正海,1:33.1,1/2,**,13-12,35.5,85.9,12,494(-6),,,,[西] 藤岡範士,森中蕃,
10,11,1,2,コスモセンサー,牡3,57,石橋脩,1:33.3,3/4,**,2-2,36.7,34.5,7,490(0),,,,[西] 西園正都,ビッグレッドファーム,
11,12,6,12,キングレオポルド,牡3,57,伊藤工真,1:33.4,1/2,**,2-4,36.6,121.4,15,502(+2),,,,[東] 堀宣行,里見治,
12,13,3,5,サウンドバリアー,牝3,55,内田博幸,1:33.5,3/4,**,5-5,36.4,52.0,8,460(+2),,,,[西] 安達昭夫,増田雄一,
13,14,4,7,トシギャングスター,牡3,57,浜中俊,1:33.6,クビ,**,17-17,35.4,85.8,11,464(+6),,,,[西] 矢作芳人,田畑利彦,
14,15,7,15,ガルボ,牡3,57,後藤浩輝,1:33.6,クビ,**,10-8,36.2,26.6,6,454(-2),,,,[東] 清水英克,石川一義,
15,16,4,8,パドトロワ,牡3,57,柴田善臣,1:33.7,クビ,**,6-5,36.5,142.4,17,528(+10),,,,[西] 鮫島一歩,吉田照哉,
16,17,3,6,ニシノメイゲツ,牡3,57,北村宏司,1:33.9,1.1/2,**,10-12,36.3,89.5,14,444(-6),,,,[東] 田村康仁,西山茂行,
17,18,8,17,エーシンダックマン,牡3,57,四位洋文,1:34.5,3.1/2,**,1-1,38.2,85.2,10,476(-2),,,,[西] 坂口正則,栄進堂,
0,1,7,13,グランプリボス,牡3,57,ウィリア,1:32.2,,**,6-5,34.0,4.6,1,500(-6),,,,[西] 矢作芳人,グランプリ,9603.2
1,2,8,17,コティリオン,牡3,57,小牧太,1:32.4,1.1/2,**,18-16,33.4,4.8,2,468(-2),,,,[西] 橋口弘次,金子真人ホールディングス,3815.2
2,3,1,1,リアルインパクト,牡3,57,内田博幸,1:32.5,3/4,**,9-9,34.2,6.1,4,496(+2),,,,[東] 堀宣行,キャロットファーム,2357.6
3,4,2,3,エイシンオスマン,牡3,57,後藤浩輝,1:32.6,3/4,**,2-2,34.7,14.7,7,470(+8),,,,[西] 松永昌博,平井豊光,1400.0
4,5,4,8,プレイ,牡3,57,柴田大知,1:32.7,クビ,**,4-2,34.8,18.9,8,492(-4),,,,[東] 斎藤誠,岡田繁幸,920.0
5,6,3,5,マイネルラクリマ,牡3,57,松岡正海,1:32.7,ハナ,**,13-13,34.1,71.8,16,464(-2),,,,[東] 上原博之,サラブレッドクラブ・ラフィアン,
6,7,8,18,オメガブレイン,牡3,57,横山典弘,1:32.8,1/2,**,17-16,33.9,70.9,14,440(-2),,,,[東] 古賀慎明,原礼子,
7,8,5,10,フォーエバーマーク,牝3,55,吉田豊,1:32.9,1/2,**,1-1,35.3,40.1,11,488(0),,,,[東] 矢野英一,青山洋一,
8,9,2,4,エーシンジャッカル,牡3,57,岩田康誠,1:33.1,1.1/2,**,14-13,34.5,6.0,3,450(-4),,,,[西] 高野友和,栄進堂,
9,10,7,14,アイヴィーリーグ,牡3,57,福永祐一,1:33.1,クビ,**,12-12,34.6,12.4,6,454(-4),,,,[西] 中尾秀正,近藤英子,
10,11,8,16,アドマイヤサガス,牡3,57,川田将雅,1:33.2,クビ,**,16-16,34.2,70.9,15,516(+2),,,,[西] 橋田満,近藤利一,
11,12,5,9,ヘニーハウンド,牡3,57,ピンナ,1:33.3,1/2,**,6-5,35.2,10.5,5,494(-2),,,,[西] 矢作芳人,林正道,
12,13,6,12,キョウエイバサラ,牡3,57,小林慎一,1:33.5,1.1/2,**,14-13,34.8,141.5,18,506(+2),,,,[西] 矢作芳人,田中晴夫,
13,14,6,11,テイエムオオタカ,牡3,57,大庭和弥,1:33.7,1.1/2,**,6-5,35.6,46.5,12,470(0),,,,[東] 石栗龍彦,竹園正繼,
14,15,3,6,ダンスファンタジア,牝3,55,北村宏司,1:34.3,3.1/2,**,9-9,36.0,22.1,9,450(-2),,,,[東] 藤沢和雄,社台レースホース,
15,16,4,7,クリアンサス,牝3,55,武豊,1:34.4,1/2,**,2-2,36.6,29.3,10,472(0),,,,[西] 松永幹夫,サンデーレーシング,
16,17,7,15,ロビンフット,牡3,57,吉田隼人,1:34.8,2.1/2,**,11-9,36.5,57.0,13,488(-4),,,,[東] 堀井雅広,桐谷茂,
17,18,1,2,リキサンマックス,牡3,57,柴原央明,1:35.4,3.1/2,**,4-5,37.3,79.3,17,440(+4),,,,[西] 昆貢,ハイパワー商事,
0,1,3,5,カレンブラックヒル,牡3,57,秋山真一,1:34.5,,**,1-1,34.6,3.7,1,460(-6),,,,[西] 平田修,鈴木隆司,9590.6
1,2,8,17,アルフレード,牡3,57,ウィリア,1:35.1,3.1/2,**,5-4,34.9,7.4,3,516(-2),,,,[東] 手塚貴久,キャロットファーム,3811.6
2,3,6,12,クラレント,牡3,57,小牧太,1:35.1,クビ,**,11-10,34.4,64.7,15,472(-4),,,,[西] 橋口弘次,前田晋二,2355.8
3,4,7,13,オリービン,牡3,57,川田将雅,1:35.1,ハナ,**,8-8,34.5,31.4,10,456(0),,,,[西] 橋口弘次,吉田照哉,1400.0
4,5,5,9,セイクレットレーヴ,牡3,57,横山典弘,1:35.2,クビ,**,16-15,34.2,19.0,7,464(-4),,,,[東] 田中清隆,嶋田賢,920.0
5,6,7,14,ジャスタウェイ,牡3,57,福永祐一,1:35.3,3/4+ハナ,**,15-16,34.2,10.0,4,474(-8),,,,[西] 須貝尚介,大和屋暁,
6,7,4,7,ハナズゴール,牝3,55,田辺裕信,1:35.3,ハナ,**,14-12,34.5,13.7,6,414(0),,,,[東] 加藤和宏,Ｍ．タバート,
7,8,2,3,レオアクティブ,牡3,57,蛯名正義,1:35.3,クビ,**,13-12,34.4,23.4,9,446(-4),,,,[東] 杉浦宏昭,田中博之,
8,9,8,16,ガンジス,牡3,57,藤岡佑介,1:35.6,1.3/4,**,5-4,35.3,45.5,13,502(+4),,,,[西] 矢作芳人,林正道,
9,10,5,10,ブライトライン,牡3,57,安藤勝己,1:35.6,ハナ,**,16-17,34.4,10.4,5,502(-4),,,,[西] 鮫島一歩,ノースヒルズ,
10,11,8,18,レオンビスティー,牡3,57,内田博幸,1:36.0,2.1/2,**,2-2,36.0,74.6,17,490(+8),,,,[西] 矢作芳人,備前島敏子,
11,12,1,2,ネオヴァンクル,牡3,57,北村友一,1:36.0,クビ,**,4-4,35.8,139.3,18,502(-4),,,,[西] 音無秀孝,小林仁幸,
12,13,7,15,サドンストーム,牡3,57,勝浦正樹,1:36.1,クビ,**,18-18,34.7,39.0,11,460(0),,,,[西] 西浦勝一,Ｈ．Ｈ．シェイク・ハムダン,
13,14,6,11,マイネルロブスト,牡3,57,松岡正海,1:36.4,2,**,2-2,36.4,48.3,14,482(-6),,,,[東] 高橋裕,サラブレッドクラブ・ラフィアン,
14,15,1,1,メジャーアスリート,牡3,57,池添謙一,1:36.6,1.1/4,**,7-7,36.2,43.9,12,498(-2),,,,[東] 高木登,Ｇ１レーシング,
15,16,2,4,モンストール,牡3,57,柴田善臣,1:36.7,3/4,**,9-10,36.0,21.4,8,460(0),,,,[東] 尾関知人,前田幸治,
16,中,3,6,シゲルスダチ,牡3,57,後藤浩輝,,,**,12-12,,73.8,16,416(+6),,,,[西] 西園正都,森中蕃,
17,失,4,8,マウントシャスタ,牡3,57,岩田康誠,1:35.3,,**,9-8,34.7,3.7,2,456(0),,,,[西] 池江泰寿,金子真人ホールディングス,
0,1,4,8,マイネルホウオウ,牡3,57,柴田大知,1:32.7,,**,16-14,33.7,34.3,10,482(0),,,,[東] 畠山吉宏,サラブレッドクラブ・ラフィアン,9582.2
1,2,8,17,インパルスヒーロー,牡3,57,田中勝春,1:32.7,クビ,**,12-10,33.9,14.2,6,496(-4),,,,[東] 国枝栄,佐々木完二,3809.2
2,3,6,12,フラムドグロワール,牡3,57,横山典弘,1:32.8,クビ,**,3-4,34.6,29.6,8,488(-10),,,,[東] 藤沢和雄,シルク,2354.6
3,4,3,6,レッドアリオン,牡3,57,川須栄彦,1:33.0,1.1/4,**,17-18,33.6,6.9,3,472(+2),,,,[西] 橋口弘次,東京ホースレーシング,1400.0
4,5,5,10,ガイヤースヴェルト,牡3,57,ウィリア,1:33.0,クビ,**,2-2,35.1,5.2,2,490(-2),,,,[東] 斎藤誠,サンデーレーシング,920.0
5,6,7,13,シャイニープリンス,牡3,57,吉田豊,1:33.0,ハナ,**,14-15,33.9,42.1,11,504(-2),,,,[東] 栗田博憲,小林昌志,
6,7,7,15,エーシントップ,牡3,57,内田博幸,1:33.1,クビ,**,3-3,35.1,2.9,1,528(+4),,,,[西] 西園正都,栄進堂,
7,8,5,9,コパノリチャード,牡3,57,福永祐一,1:33.1,クビ,**,1-1,35.3,7.0,4,490(0),,,,[西] 宮徹,小林祥晃,
8,9,6,11,カシノピカチュウ,牡3,57,Ｃ．デム,1:33.2,1/2,**,9-10,34.5,47.6,12,466(-6),,,,[西] 牧田和弥,柏木務,
9,10,3,5,ディアセルヴィス,牡3,57,菱田裕二,1:33.4,1.1/4,**,12-12,34.5,310.7,18,452(-2),,,,[東] 高橋裕,ディアレスト,
10,11,4,7,ゴットフリート,牡3,57,戸崎圭太,1:33.5,1/2,**,18-17,34.2,7.8,5,470(+4),,,,[東] 斎藤誠,キャロットファーム,
