,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
8,9,3,5,キングアドマイヤ,牡6,57.0,藤田伸二,1:08.3,1/2,,12-13,33.7,17.1,6.0,482(-2),,,,[西] 小林稔,近藤利一,
9,10,5,9,キッスパシオン,牝5,54.0,小林徹弥,1:08.4,クビ,,11-12,34.0,170.1,14.0,480(+4),,,,[西] 清水出美,小谷津延弘,
10,11,4,8,イブキパーシヴ,牝5,54.0,高橋亮,1:08.4,ハナ,,6-6,34.3,95.7,13.0,434(-2),,,,[西] 橋口弘次,伊吹,
11,12,4,7,レザームーン,牡6,57.0,四位洋文,1:08.4,アタマ,,9-10,34.1,29.6,7.0,538(-2),,,,[西] 高橋隆,齊藤四方司,
12,13,6,12,マチカネジンダイコ,牡7,57.0,和田竜二,1:08.6,1.1/4,,15-13,33.9,82.1,11.0,490(0),,,,[西] 柴田光陽,細川益男,
13,14,7,14,ニシノファイナル,牝5,54.0,菊沢隆仁,1:08.6,クビ,,6-9,34.4,309.2,16.0,428(-4),,,,[西] 松田正弘,西山牧場,
14,15,6,11,ヒシアケボノ,牡6,58.0,河内洋,1:09.0,2.1/2,,2-2,35.2,9.1,2.0,576(+6),,,,[西] 佐山優,阿部雅一郎,
15,16,1,2,メイショウサムライ,牡7,57.0,武幸四郎,1:09.1,クビ,,4-4,35.2,87.0,12.0,464(-24),,,,[西] 武邦彦,松本好雄,
0,1,1,1,シーキングザパール,牝5,56.0,武豊,1:08.6,,,8-7,34.6,6.5,4.0,466(-2),,,,[西] 森秀行,植中昌子,4350.4
1,2,2,2,マサラッキ,牡6,57.0,河内洋,1:08.6,クビ,,4-4,34.8,3.8,2.0,476(-2),,,,[西] 増本豊,丸井正貴,1714.4
2,3,8,12,シンコウフォレスト,牡6,57.0,四位洋文,1:08.7,クビ,,2-2,35.5,15.4,7.0,516(+2),,,,[東] 栗田博憲,安田修,1107.2
3,4,7,10,スギノハヤカゼ,牡6,59.0,田島裕和,1:08.9,1.1/2,,7-4,35.0,6.5,3.0,476(-2),,,,[西] 鹿戸幸治,杉江義夫,650.0
4,5,5,6,ホッコービューティ,牝5,54.0,武幸四郎,1:09.0,クビ,,10-11,34.6,31.9,8.0,464(+2),,,,[西] 橋本寿正,矢部幸一,215.0
5,5,8,11,エイシンバーリン,牝7,56.0,南井克巳,1:09.0,同着,,2-3,35.7,12.2,6.0,460(+16),,,,[西] 坂口正則,平井豊光,215.0
6,7,5,5,ワシントンカラー,牡5,56.0,菊沢隆徳,1:09.1,3/4,,4-4,35.3,9.1,5.0,502(-2),,,,[東] 松山康久,テンジン,
7,8,7,9,ドージマムテキ,牡9,57.0,村本善之,1:09.2,3/4,,10-10,35.0,158.1,11.0,504(-5),,,,[西] 森秀行,吉田照哉,
8,9,6,8,ザゴールド,牡6,57.0,牧田和弥,1:09.3,1/2,,4-7,35.5,193.2,12.0,492(0),,,,[西] 中村好夫,ジョイ・レースホース,
9,10,3,3,センタームービング,牡7,57.0,小林徹弥,1:09.5,1.1/4,,12-11,35.0,94.1,9.0,468(+2),,,,[西] 目野哲也,中野優,
10,11,6,7,キョウエイマーチ,牝5,56.0,松永幹夫,1:09.5,クビ,,1-1,36.4,2.6,1.0,498(0),,,,[西] 野村彰彦,松岡正雄,
11,12,4,4,ジェットアラウンド,牡5,56.0,熊沢重文,1:10.2,4,,8-9,36.2,156.2,10.0,492(0),,,,[西] 池江泰郎,ロイヤルファーム,
0,1,8,14,マイネルラヴ,牡5,57.0,松永幹夫,1:08.7,,,4-3,34.9,5.3,2.0,506(0),,,,[東] 稲葉隆一,サラブレッドクラブ・ラフィアン,4363.0
1,2,2,2,アグネスワールド,牡5,56.0,横山典弘,1:09.0,2,,5-5,35.0,6.0,3.0,512(-4),,,,[西] 森秀行,渡辺孝男,1718.0
2,3,6,10,サウンドワールド,牡5,56.0,松田大作,1:09.2,1.1/4,,1-1,35.6,13.2,4.0,468(-2),,,,[西] 崎山博樹,増田雄一,1109.0
3,4,4,6,メイショウアヤメ,牝5,54.0,飯田祐史,1:09.3,1/2,,8-8,35.1,131.7,11.0,424(+2),,,,[西] 飯田明弘,松本好雄,650.0
4,5,8,13,シンコウフォレスト,牡7,58.0,四位洋文,1:09.3,ハナ,,2-3,35.6,53.7,8.0,530(+14),,,,[東] 栗田博憲,安田修,430.0
5,6,4,5,マサラッキ,牡7,58.0,藤田伸二,1:09.3,ハナ,,5-6,35.2,14.3,5.0,480(-4),,,,[西] 増本豊,丸井正貴,
6,7,5,8,シンワビューティー,牝5,54.0,安藤勝己,1:09.4,3/4,,14-14,34.0,139.5,12.0,472(+2),,,,[地] 柴田高志,若尾明,
7,8,3,3,チアズサイレンス,牡7,57.0,本田優,1:09.4,クビ,,10-10,34.6,63.2,9.0,504(+4),,,,[西] 山内研二,北村キヨ子,
8,9,1,1,フサイチヒロシ,牡7,57.0,河北通,1:09.5,クビ,,11-11,34.5,245.5,14.0,518(-6),,,,[西] 小野幸治,関口房朗,
9,10,7,11,トキオパーフェクト,牡5,56.0,蛯名正義,1:09.6,クビ,,2-2,35.9,1.6,1.0,450(-6),,,,[東] 古賀史生,坂田時雄,
